2023-10-25
00 - 01,12.4
01 - 02,12.0
02 - 03,11.4
03 - 04,10.8
04 - 05,10.4
05 - 06,10.6
06 - 07,11.6
07 - 08,15.0
08 - 09,19.6
09 - 10,19.6
10 - 11,17.5
11 - 12,15.7
12 - 13,15.1
13 - 14,14.4
14 - 15,14.0
15 - 16,15.0
16 - 17,16.8
17 - 18,17.6
18 - 19,18.5
19 - 20,18.9
20 - 21,19.3
21 - 22,18.1
22 - 23,16.8
23 - 24,14.5
2023-10-26
00 - 01,13.6
01 - 02,10.9
02 - 03,10.9
03 - 04,10.6
04 - 05,10.6
05 - 06,10.9
06 - 07,12.1
07 - 08,17.8
08 - 09,19.6
09 - 10,19.6
10 - 11,19.6
11 - 12,20.0
12 - 13,16.9
13 - 14,15.9
14 - 15,14.5
15 - 16,18.3
16 - 17,16.2
17 - 18,20.0
18 - 19,21.2
19 - 20,19.6
20 - 21,19.6
21 - 22,18.5
22 - 23,15.4
23 - 24,14.2
2023-10-27
00 - 01,12.7
01 - 02,12.7
02 - 03,11.8
03 - 04,11.4
04 - 05,11.3
05 - 06,11.6
06 - 07,23.6
07 - 08,19.4
08 - 09,19.5
09 - 10,23.6
10 - 11,18.5
11 - 12,19.4
12 - 13,20.6
13 - 14,20.6
14 - 15,20.6
15 - 16,20.6
16 - 17,20.6
17 - 18,19.4
18 - 19,26.6
19 - 20,19.2
20 - 21,18.8
21 - 22,17.2
22 - 23,13.7
23 - 24,23.6
2023-10-28
00 - 01,14.8
01 - 02,17.7
02 - 03,17.6
03 - 04,17.5
04 - 05,17.5
05 - 06,17.5
06 - 07,21.8
07 - 08,21.8
08 - 09,16.4
09 - 10,19.0
10 - 11,21.8
11 - 12,20.2
12 - 13,19.2
13 - 14,18.2
14 - 15,18.2
15 - 16,18.2
16 - 17,10.2
17 - 18,13.5
18 - 19,19.4
19 - 20,18.3
20 - 21,18.3
21 - 22,18.2
22 - 23,21.8
23 - 24,18.2
2023-10-29
00 - 01,6.4
01 - 02,10.1
02 - 03,8.5
03 - 04,2.9
04 - 05,2.6
05 - 06,7.6
06 - 07,7.9
07 - 08,7.9
08 - 09,4.0
09 - 10,2.9
10 - 11,7.9
11 - 12,7.9
12 - 13,7.9
13 - 14,6.2
14 - 15,2.7
15 - 16,7.5
16 - 17,7.0
17 - 18,11.0
18 - 19,11.1
19 - 20,7.1
20 - 21,5.3
21 - 22,4.9
22 - 23,4.1
23 - 24,3.7
2023-10-30
00 - 01,3.0
01 - 02,2.2
02 - 03,1.5
03 - 04,1.4
04 - 05,1.4
05 - 06,2.1
06 - 07,4.5
07 - 08,9.4
08 - 09,11.8
09 - 10,13.4
10 - 11,12.5
11 - 12,10.9
12 - 13,11.6
13 - 14,12.4
14 - 15,13.9
15 - 16,15.0
16 - 17,16.9
17 - 18,17.7
18 - 19,20.1
19 - 20,17.8
20 - 21,17.7
21 - 22,12.1
22 - 23,14.1
23 - 24,12.1
2023-11-01
00 - 01,1.2
01 - 02,0.4
02 - 03,0.4
03 - 04,0.5
04 - 05,0.6
05 - 06,1.1
06 - 07,4.8
07 - 08,8.9
08 - 09,10.1
09 - 10,10.5
10 - 11,8.4
11 - 12,7.0
12 - 13,6.2
13 - 14,5.8
14 - 15,6.2
15 - 16,7.3
16 - 17,8.5
17 - 18,10.8
18 - 19,9.8
19 - 20,9.6
20 - 21,9.3
21 - 22,6.4
22 - 23,3.8
23 - 24,3.8
2023-11-02
00 - 01,2.2
01 - 02,5.7
02 - 03,4.8
03 - 04,2.0
04 - 05,1.8
05 - 06,6.3
06 - 07,3.4
07 - 08,10.9
08 - 09,11.0
09 - 10,10.3
10 - 11,10.3
11 - 12,10.3
12 - 13,10.3
13 - 14,7.1
14 - 15,7.0
15 - 16,8.5
16 - 17,11.0
17 - 18,17.3
18 - 19,17.8
19 - 20,11.0
20 - 21,11.0
21 - 22,10.3
22 - 23,9.0
23 - 24,8.7
2023-11-05
00 - 01,0.9
01 - 02,1.1
02 - 03,0.8
03 - 04,0.6
04 - 05,0.7
05 - 06,0.5
06 - 07,1.0
07 - 08,0.9
08 - 09,1.5
09 - 10,2.1
10 - 11,3.1
11 - 12,5.7
12 - 13,5.8
13 - 14,5.3
14 - 15,3.6
15 - 16,4.5
16 - 17,6.8
17 - 18,10.2
18 - 19,10.6
19 - 20,10.2
20 - 21,8.7
21 - 22,5.6
22 - 23,3.7
23 - 24,3.2
2023-11-06
00 - 01,2.6
01 - 02,2.3
02 - 03,2.1
03 - 04,2.0
04 - 05,2.0
05 - 06,2.0
06 - 07,12.1
07 - 08,10.9
08 - 09,19.1
09 - 10,20.6
10 - 11,10.9
11 - 12,10.3
12 - 13,10.9
13 - 14,10.9
14 - 15,10.9
15 - 16,9.6
16 - 17,10.9
17 - 18,15.4
18 - 19,16.3
19 - 20,18.8
20 - 21,17.5
21 - 22,13.3
22 - 23,10.3
23 - 24,10.4
2023-11-07
00 - 01,10.2
01 - 02,8.5
02 - 03,8.3
03 - 04,8.3
04 - 05,8.2
05 - 06,8.5
06 - 07,9.6
07 - 08,11.5
08 - 09,16.9
09 - 10,20.6
10 - 11,21.3
11 - 12,20.6
12 - 13,14.7
13 - 14,20.6
14 - 15,15.5
15 - 16,24.2
16 - 17,24.2
17 - 18,20.6
18 - 19,20.6
19 - 20,17.5
20 - 21,12.1
21 - 22,10.9
22 - 23,9.8
23 - 24,7.5
2023-11-08
00 - 01,5.7
01 - 02,4.8
02 - 03,4.5
03 - 04,4.4
04 - 05,6.1
05 - 06,4.5
06 - 07,6.7
07 - 08,15.8
08 - 09,20.6
09 - 10,30.3
10 - 11,20.6
11 - 12,20.6
12 - 13,20.6
13 - 14,20.6
14 - 15,24.2
15 - 16,24.2
16 - 17,30.3
17 - 18,15.4
18 - 19,17.4
19 - 20,15.6
20 - 21,15.5
21 - 22,14.7
22 - 23,11.2
23 - 24,10.1
2023-11-09
00 - 01,8.1
01 - 02,8.0
02 - 03,7.5
03 - 04,4.8
04 - 05,8.8
05 - 06,9.0
06 - 07,10.1
07 - 08,13.3
08 - 09,14.5
09 - 10,14.7
10 - 11,13.3
11 - 12,12.1
12 - 13,11.8
13 - 14,13.3
14 - 15,15.5
15 - 16,12.2
16 - 17,14.1
17 - 18,14.5
18 - 19,15.3
19 - 20,15.4
20 - 21,13.5
21 - 22,11.6
22 - 23,10.1
23 - 24,10.2
2023-11-10
00 - 01,4.8
